category,week_end,amount_weekly
groceries,2015-09-28,0.0
groceries,2015-10-05,0.0
groceries,2015-10-12,0.0
groceries,2015-10-19,0.0
groceries,2015-10-26,0.0
groceries,2015-11-02,330.0
groceries,2015-11-09,0.0
groceries,2015-11-16,0.0
groceries,2015-11-23,84.0
groceries,2015-11-30,25.0
groceries,2015-12-07,0.0
groceries,2015-12-14,0.0
groceries,2015-12-21,80.0
groceries,2015-12-28,0.0
groceries,2016-01-04,640.0
groceries,2016-01-11,0.0
groceries,2016-01-18,0.0
groceries,2016-01-25,0.0
groceries,2016-02-01,0.0
groceries,2016-02-08,0.0
groceries,2016-02-15,165.0
groceries,2016-02-22,125.0
groceries,2016-02-29,220.0
groceries,2016-03-07,0.0
groceries,2016-03-14,0.0
groceries,2016-03-21,35.0
groceries,2016-03-28,0.0
groceries,2016-04-04,0.0
groceries,2016-04-11,0.0
groceries,2016-04-18,0.0
groceries,2016-04-25,0.0
groceries,2016-05-02,259.0
groceries,2016-05-09,0.0
groceries,2016-05-16,0.0
groceries,2016-05-23,180.0
groceries,2016-05-30,504.0
groceries,2016-06-06,0.0
groceries,2016-06-13,0.0
groceries,2016-06-20,740.0
groceries,2016-06-27,0.0
groceries,2016-07-04,0.0
groceries,2016-07-11,0.0
groceries,2016-07-18,0.0
groceries,2016-07-25,0.0
groceries,2016-08-01,0.0
groceries,2016-08-08,0.0
groceries,2016-08-15,0.0
groceries,2016-08-22,0.0
groceries,2016-08-29,0.0
groceries,2016-09-05,0.0
groceries,2016-09-12,0.0
groceries,2016-09-19,1043.0
groceries,2016-09-26,0.0
groceries,2016-10-03,0.0
groceries,2016-10-10,0.0
groceries,2016-10-17,765.0
groceries,2016-10-24,375.0
groceries,2016-10-31,220.0
groceries,2016-11-07,0.0
groceries,2016-11-14,0.0
groceries,2016-11-21,1379.0
groceries,2016-11-28,20.0
groceries,2016-12-05,0.0
groceries,2016-12-12,0.0
groceries,2016-12-19,429.0
groceries,2016-12-26,0.0
groceries,2017-01-02,841.0
groceries,2017-01-09,0.0
groceries,2017-01-16,680.0
groceries,2017-01-23,430.0
groceries,2017-01-30,460.0
groceries,2017-02-06,35.0
groceries,2017-02-13,0.0
groceries,2017-02-20,30.0
groceries,2017-02-27,1082.0
groceries,2017-03-06,2546.0
groceries,2017-03-13,100.0
groceries,2017-03-20,567.0
groceries,2017-03-27,260.0
groceries,2017-04-03,507.0
groceries,2017-04-10,0.0
groceries,2017-04-17,1076.0
groceries,2017-04-24,428.0
groceries,2017-05-01,629.0
groceries,2017-05-08,0.0
groceries,2017-05-15,689.0
groceries,2017-05-22,1173.0
groceries,2017-05-29,686.0
groceries,2017-06-05,219.0
groceries,2017-06-12,0.0
groceries,2017-06-19,555.0
groceries,2017-06-26,532.0
groceries,2017-07-03,201.5
groceries,2017-07-10,0.0
groceries,2017-07-17,672.0
groceries,2017-07-24,930.0
groceries,2017-07-31,724.0
groceries,2017-08-07,0.0
groceries,2017-08-14,0.0
groceries,2017-08-21,847.0
groceries,2017-08-28,650.0
groceries,2017-09-04,99.0
groceries,2017-09-11,0.0
groceries,2017-09-18,1026.0
groceries,2017-09-25,735.0
groceries,2017-10-02,200.0
groceries,2017-10-09,0.0
groceries,2017-10-16,0.0
groceries,2017-10-23,58.0
groceries,2017-10-30,10.0
groceries,2017-11-06,0.0
groceries,2017-11-13,180.0
groceries,2017-11-20,1270.0
groceries,2017-11-27,209.0
groceries,2017-12-04,359.0
groceries,2017-12-11,0.0
groceries,2017-12-18,823.0
groceries,2017-12-25,799.0
groceries,2018-01-01,170.0
groceries,2018-01-08,0.0
groceries,2018-01-15,322.0
groceries,2018-01-22,1120.0
groceries,2018-01-29,399.0
groceries,2018-02-05,409.0
groceries,2018-02-12,0.0
groceries,2018-02-19,2400.0
groceries,2018-02-26,454.0
groceries,2018-03-05,159.0
groceries,2018-03-12,0.0
groceries,2018-03-19,838.7310455705831
groceries,2018-03-26,1443.4452131877688
groceries,2018-04-02,1904.8837412416497
groceries,2018-04-09,0.0
groceries,2018-04-16,317.0
groceries,2018-04-23,512.0
groceries,2018-04-30,814.0
groceries,2018-05-07,0.0
groceries,2018-05-14,1265.0
groceries,2018-05-21,135.0
groceries,2018-05-28,0.0
groceries,2018-06-04,0.0
groceries,2018-06-11,0.0
groceries,2018-06-18,0.0
groceries,2018-06-25,470.0
groceries,2018-07-02,589.0
groceries,2018-07-09,0.0
groceries,2018-07-16,662.0
groceries,2018-07-23,561.0
groceries,2018-07-30,837.0
groceries,2018-08-06,10.0
groceries,2018-08-13,75.0
groceries,2018-08-20,709.0
groceries,2018-08-27,1482.0
